Text_Type,Book,Chapter,Window,GGL,G,GG,LGG,GGG,GLG,GLL,LLG,L,LGL,LLL,LL,LG,GL
SN,CS,siddi,1313,53,10,1,60,76,69,37,50,1,68,29,1,4,1
SN,CS,siddi,1314,53,11,1,57,75,69,37,50,1,69,29,1,4,1
SN,CS,siddi,1315,51,10,1,53,75,69,36,49,2,69,28,1,4,1
SN,CS,siddi,1316,50,11,1,48,76,68,35,47,2,68,28,1,3,1
SN,CS,siddi,1317,46,11,1,47,75,67,31,44,2,66,28,1,3,1
SN,CS,siddi,1318,44,11,1,46,73,66,29,39,3,65,28,1,3,0
SN,CS,siddi,1319,42,12,1,44,71,65,29,34,3,64,27,1,2,0
SN,CS,siddi,1320,42,12,1,43,69,66,26,32,3,62,26,1,2,0
SN,CS,siddi,1321,38,13,1,39,65,65,25,32,2,57,22,1,2,0
SN,CS,siddi,1322,37,12,1,40,64,66,25,32,3,58,22,1,2,0
SN,CS,siddi,1323,33,11,1,37,53,58,19,28,4,51,19,1,2,0
SN,CS,siddi,1324,32,12,1,32,52,55,18,26,4,48,17,1,2,0
SN,CS,siddi,1325,30,13,0,30,48,48,18,26,4,45,14,1,2,0
SN,CS,siddi,1326,17,14,0,18,41,43,13,21,4,37,9,1,2,0
SN,CS,siddi,1327,17,15,0,19,40,43,13,20,4,38,9,1,2,0
SN,CS,siddi,1328,16,16,0,19,39,42,13,21,4,38,9,1,2,0
SN,CS,siddi,1329,15,17,0,19,37,42,11,20,4,35,9,1,1,0
SN,CS,siddi,1330,10,17,0,13,31,36,9,16,4,35,2,1,1,0
SN,CS,siddi,1331,10,18,0,14,29,37,9,15,4,36,2,1,1,0
SN,CS,siddi,1332,10,18,0,15,30,29,8,11,4,31,1,1,1,0
SN,CS,siddi,1333,8,19,0,15,28,30,8,10,4,29,0,0,1,0
SN,CS,siddi,1334,8,20,0,14,28,29,7,10,4,30,0,0,1,0
SN,CS,siddi,1335,8,20,0,14,28,28,7,11,4,30,0,0,1,0
SN,CS,siddi,1336,9,20,0,14,27,28,7,12,4,29,0,0,1,0
SN,CS,siddi,1337,9,20,0,13,30,28,5,12,4,29,0,0,1,0
SN,CS,siddi,1338,8,20,0,13,29,28,6,13,4,29,0,0,1,0
SN,CS,siddi,1339,8,20,0,15,28,30,6,11,4,28,0,0,1,0
SN,CS,siddi,1340,8,21,0,15,28,31,5,11,3,28,0,0,1,0
SN,CS,siddi,1341,7,21,0,15,28,31,6,11,3,28,0,0,1,0
SN,CS,siddi,1342,7,22,0,15,27,29,5,12,3,30,0,0,0,0
SN,CS,siddi,1343,8,23,0,15,28,27,5,13,2,29,0,0,0,0
SN,CS,siddi,1344,8,23,0,16,28,25,6,12,2,30,0,0,0,0
SN,CS,siddi,1345,9,23,0,15,29,26,5,11,2,30,0,0,0,0
SN,CS,siddi,1346,11,23,0,15,29,25,5,9,2,31,0,0,0,0
SN,CS,siddi,1347,12,24,0,15,29,24,6,8,1,31,0,0,0,0
SN,CS,siddi,1348,15,25,0,14,29,24,5,8,0,30,0,0,0,0
SN,CS,siddi,1349,14,25,0,15,27,25,6,8,0,30,0,0,0,0
SN,CS,siddi,1350,14,25,0,14,26,26,6,8,0,31,0,0,0,0
SN,CS,siddi,1351,15,25,0,15,25,27,5,7,0,31,0,0,0,0
SN,CS,siddi,1352,16,24,0,14,26,25,5,8,1,31,0,0,0,0
SN,CS,siddi,1353,16,24,0,15,24,27,5,7,1,31,0,0,0,0
SN,CS,siddi,1354,16,24,0,14,23,28,5,8,1,31,0,0,0,0
SN,CS,siddi,1355,14,24,0,16,24,27,5,8,1,31,0,0,0,0
SN,CS,siddi,1356,14,24,0,15,25,25,6,9,1,31,0,0,0,0
SN,CS,siddi,1357,16,24,0,15,23,25,6,9,1,31,0,0,0,0
SN,CS,siddi,1358,17,24,0,16,22,23,6,9,1,32,0,0,0,0
SN,CS,siddi,1359,17,24,0,17,22,23,6,9,1,31,0,0,0,0
SN,CS,siddi,1360,19,24,0,17,22,22,6,8,1,31,0,0,0,0
SN,CS,siddi,1361,20,24,0,17,22,23,6,7,1,30,0,0,0,0
SN,CS,siddi,1362,21,24,0,17,20,22,6,8,1,31,0,0,0,0
SN,CS,siddi,1363,22,24,0,17,20,22,5,7,1,32,0,0,0,0
SN,CS,siddi,1364,22,24,0,15,22,21,5,8,1,32,0,0,0,0
SN,CS,siddi,1365,21,24,0,15,22,21,5,8,1,33,0,0,0,0
SN,CS,siddi,1366,21,24,0,17,20,22,4,8,1,33,0,0,0,0
SN,CS,siddi,1367,20,24,0,17,21,23,4,8,1,32,0,0,0,0
SN,CS,siddi,1368,19,24,0,17,20,26,4,7,1,32,0,0,0,0
SN,CS,siddi,1369,19,23,0,15,22,27,3,8,2,31,0,0,0,0
SN,CS,siddi,1370,18,23,0,16,23,26,3,8,2,31,0,0,0,0
SN,CS,siddi,1371,16,23,0,15,24,28,4,8,2,30,0,0,0,0
SN,CS,siddi,1372,15,23,0,14,24,30,3,8,2,31,3,0,0,0
SN,CS,siddi,1373,12,23,0,15,23,32,3,8,2,32,6,0,0,0
SN,CS,siddi,1374,13,23,0,14,24,30,2,9,2,33,6,0,0,0
SN,CS,siddi,1375,15,23,0,14,24,29,2,9,2,32,6,0,0,0
SN,CS,siddi,1376,14,23,0,14,24,29,3,9,2,32,6,0,0,0
SN,CS,siddi,1377,13,23,0,15,22,31,4,8,2,32,6,0,0,0
SN,CS,siddi,1378,14,23,0,13,22,30,4,10,2,32,6,0,0,0
SN,CS,siddi,1379,15,23,0,13,21,29,4,10,2,33,6,0,0,0
SN,CS,siddi,1380,15,22,0,11,22,29,5,10,3,33,6,0,0,0
SN,CS,siddi,1381,17,22,0,11,22,29,4,9,3,33,6,0,0,0
SN,CS,siddi,1382,18,21,0,11,26,28,7,12,3,33,6,0,0,0
SN,CS,siddi,1383,17,21,0,10,28,29,7,13,3,31,7,0,0,0
SN,CS,siddi,1384,17,21,0,10,26,28,8,13,3,31,7,0,0,0
