Text_Type,Book,Chapter,Window,GLL,LGG,GGG,LGL,G,GLG,LLG,GGL,L,GG,LL,LG,LLL,GL
SN,CS,shareera,486,50,87,156,62,10,137,61,108,8,6,0,4,41,2
SN,CS,shareera,487,49,86,160,64,10,142,60,111,8,6,0,4,42,2
SN,CS,shareera,488,49,89,159,63,9,141,62,111,8,6,0,4,43,2
SN,CS,shareera,489,50,91,157,64,10,141,63,112,8,6,0,4,44,2
SN,CS,shareera,490,50,91,161,65,10,141,62,112,9,5,0,4,45,2
SN,CS,shareera,491,50,88,156,63,10,136,60,106,9,5,0,4,43,2
SN,CS,shareera,492,50,88,161,65,10,135,60,109,9,5,0,4,41,2
SN,CS,shareera,493,51,85,164,64,10,131,58,111,9,5,0,4,42,2
SN,CS,shareera,494,52,84,166,65,11,131,58,114,9,5,0,4,41,2
SN,CS,shareera,495,55,90,176,66,11,139,66,118,9,4,0,4,48,2
SN,CS,shareera,496,57,95,179,72,11,146,68,123,9,3,0,5,50,2
SN,CS,shareera,497,62,98,177,79,11,154,70,124,9,3,0,4,53,2
SN,CS,shareera,498,66,98,175,76,11,153,72,124,10,3,0,4,51,2
SN,CS,shareera,499,65,101,174,76,11,149,71,122,9,3,0,4,49,2
SN,CS,shareera,500,64,100,167,74,12,146,67,119,8,3,0,4,49,2
SN,CS,shareera,501,63,99,161,71,11,142,65,109,8,3,0,4,45,2
SN,CS,shareera,502,63,100,160,71,11,143,66,108,7,3,0,4,43,2
SN,CS,shareera,503,64,100,159,70,11,137,64,106,7,3,1,4,42,2
SN,CS,shareera,504,63,98,163,72,12,139,65,107,7,3,1,4,43,2
SN,CS,shareera,505,62,100,167,73,12,138,67,109,7,3,1,3,45,2
SN,CS,shareera,506,61,98,167,74,13,134,69,109,7,3,1,3,46,2
SN,CS,shareera,507,61,102,168,73,13,132,69,107,7,3,1,3,46,2
SN,CS,shareera,508,60,102,169,75,13,135,69,110,7,3,1,3,47,2
SN,CS,shareera,509,60,103,169,79,13,138,71,113,6,3,1,3,49,2
SN,CS,shareera,510,60,99,161,78,13,134,71,112,6,4,1,3,49,2
SN,CS,shareera,511,59,100,164,81,13,134,71,116,6,4,1,3,50,2
SN,CS,shareera,512,61,100,161,81,14,134,69,118,5,4,1,3,50,2
SN,CS,shareera,513,60,98,157,80,15,134,70,116,5,4,1,3,51,2
SN,CS,shareera,514,61,99,160,81,15,139,71,116,5,5,1,2,53,2
SN,CS,shareera,515,62,99,162,81,15,138,71,120,5,5,1,2,53,2
SN,CS,shareera,516,60,99,160,81,16,139,73,120,4,5,1,2,54,2
SN,CS,shareera,517,60,100,160,82,15,137,74,120,4,6,1,2,55,2
SN,CS,shareera,518,57,97,159,83,15,134,69,121,4,7,1,2,53,1
SN,CS,shareera,519,60,98,154,78,15,132,69,117,4,8,1,2,53,1
SN,CS,shareera,520,60,97,152,80,16,132,70,116,4,8,1,1,53,1
SN,CS,shareera,521,58,97,151,83,15,130,72,116,4,9,1,1,55,1
SN,CS,shareera,522,58,96,155,83,14,130,72,116,4,9,1,1,55,1
SN,CS,shareera,523,57,95,156,83,15,131,72,117,4,9,1,1,56,1
SN,CS,shareera,524,59,96,158,82,15,131,73,116,4,9,1,1,57,1
SN,CS,shareera,525,59,98,156,82,15,131,73,115,4,9,1,1,58,1
SN,CS,shareera,526,60,98,157,81,16,131,72,114,4,8,1,1,58,1
SN,CS,shareera,527,62,101,155,78,16,130,80,111,5,8,1,1,56,1
SN,CS,shareera,528,64,106,156,79,15,130,83,114,5,8,1,1,56,1
SN,CS,shareera,529,59,101,150,73,15,130,82,107,5,8,2,1,51,1
SN,CS,shareera,530,59,100,147,73,15,132,79,107,5,8,2,1,50,1
SN,CS,shareera,531,58,98,144,74,15,130,80,106,6,8,2,1,49,1
SN,CS,shareera,532,57,97,144,75,16,125,79,106,5,8,2,1,49,1
SN,CS,shareera,533,56,97,144,76,17,120,80,102,5,8,2,1,48,0
SN,CS,shareera,534,55,93,142,74,17,120,80,102,5,8,2,1,47,0
SN,CS,shareera,535,56,93,140,76,17,117,79,100,6,8,2,1,46,0
SN,CS,shareera,536,56,92,139,75,18,111,79,99,6,7,2,1,45,0
SN,CS,shareera,537,59,92,140,72,18,106,81,98,6,7,2,1,44,0
SN,CS,shareera,538,59,90,141,72,19,105,80,98,6,7,2,1,44,0
SN,CS,shareera,539,59,88,139,71,18,105,79,97,6,8,2,1,43,0
SN,CS,shareera,540,58,87,135,70,18,108,81,98,5,9,2,1,43,0
SN,CS,shareera,541,57,92,144,71,18,111,86,100,6,9,2,1,45,0
SN,CS,shareera,542,58,97,141,70,18,111,87,101,6,9,2,1,49,1
SN,CS,shareera,543,57,100,141,73,19,111,90,103,6,9,2,1,49,1
SN,CS,shareera,544,56,98,143,72,19,112,91,102,6,9,2,1,49,1
SN,CS,shareera,545,58,100,147,73,19,116,84,105,6,9,3,1,45,1
SN,CS,shareera,546,56,94,145,68,19,109,82,98,6,9,3,0,44,1
SN,CS,shareera,547,51,88,145,63,20,100,79,97,6,9,3,0,42,1
SN,CS,shareera,548,47,88,142,63,20,99,76,96,6,9,3,0,43,1
SN,CS,shareera,549,48,86,142,64,20,99,77,97,6,9,3,1,43,1
SN,CS,shareera,550,47,85,139,64,19,96,78,98,6,9,4,1,43,1
SN,CS,shareera,551,47,85,138,63,19,99,78,99,6,9,4,1,42,2
SN,CS,shareera,552,46,84,138,63,19,99,76,100,6,10,4,1,42,2
SN,CS,shareera,553,45,84,137,63,20,101,75,101,6,10,3,1,42,2
SN,CS,shareera,554,45,83,133,62,19,101,74,100,6,10,3,1,41,3
SN,CS,shareera,555,46,84,130,63,19,104,72,104,6,11,3,1,39,3
SN,CS,shareera,556,47,83,130,62,18,106,71,106,6,11,3,1,38,3
SN,CS,shareera,557,46,80,130,62,18,105,70,109,6,11,3,1,39,3
SN,CS,shareera,558,46,78,125,60,18,103,68,105,6,11,3,1,38,3
SN,CS,shareera,559,45,77,125,56,18,100,65,103,6,11,3,1,36,4
SN,CS,shareera,560,45,75,123,58,18,97,66,100,6,10,3,1,37,4
SN,CS,shareera,561,45,76,121,56,18,97,66,95,6,10,3,1,36,4
SN,CS,shareera,562,46,74,121,59,18,99,67,97,6,10,3,1,40,4
SN,CS,shareera,563,57,81,129,73,17,109,75,104,6,11,3,1,46,4
SN,CS,shareera,564,58,82,129,75,17,107,78,106,6,10,4,1,45,4
SN,CS,shareera,565,59,83,125,76,17,108,78,103,6,9,4,1,45,5
SN,CS,shareera,566,59,82,124,76,16,108,76,105,6,9,4,1,44,5
SN,CS,shareera,567,60,81,124,72,16,106,74,104,6,8,4,1,43,5
SN,CS,shareera,568,85,104,155,84,16,140,87,125,6,7,4,1,56,5
SN,CS,shareera,569,84,102,154,85,16,138,86,127,6,6,4,1,56,5
SN,CS,shareera,570,83,101,153,85,16,137,85,126,6,6,4,1,54,5
SN,CS,shareera,571,83,101,153,83,17,136,84,126,6,5,4,1,52,5
SN,CS,shareera,572,83,102,149,84,18,137,83,125,6,5,4,1,52,5
SN,CS,shareera,573,82,101,149,83,18,136,84,124,6,5,4,1,51,5
SN,CS,shareera,574,80,100,149,84,19,136,81,123,6,5,4,1,50,5
SN,CS,shareera,575,79,98,148,85,20,137,80,123,6,5,4,1,49,5
SN,CS,shareera,576,79,97,144,88,20,136,80,124,6,5,4,1,49,5
SN,CS,shareera,577,74,89,141,87,21,131,71,121,5,5,4,1,48,5
SN,CS,shareera,578,72,84,138,87,22,129,67,119,5,5,4,1,48,5
SN,CS,shareera,579,72,84,138,88,23,128,66,119,5,5,3,1,48,5
SN,CS,shareera,580,72,85,140,88,23,126,66,118,5,5,3,1,48,5
SN,CS,shareera,581,73,86,141,87,24,126,66,116,4,5,3,1,48,5
SN,CS,shareera,582,73,85,143,87,24,127,65,115,4,5,3,1,48,5
SN,CS,shareera,583,73,85,142,86,24,127,65,117,4,5,3,1,48,5
SN,CS,shareera,584,73,86,142,87,24,125,66,116,4,5,3,1,48,5
SN,CS,shareera,585,72,86,141,86,25,128,66,116,3,5,3,1,48,5
SN,CS,shareera,586,72,86,140,86,25,129,65,117,3,5,3,1,48,5
SN,CS,shareera,587,69,85,136,88,25,130,64,115,3,5,3,1,48,5
SN,CS,shareera,588,69,84,135,91,25,130,64,115,3,5,3,1,47,5
SN,CS,shareera,589,68,84,135,93,26,130,64,116,3,4,3,1,47,5
SN,CS,shareera,590,68,84,137,94,27,128,63,115,3,3,3,1,46,5
SN,CS,shareera,591,68,79,130,93,28,126,58,111,2,3,3,1,44,5
SN,CS,shareera,592,65,73,126,94,29,124,58,107,2,3,3,1,40,4
SN,CS,shareera,593,65,70,125,91,28,123,56,105,2,3,4,1,38,4
SN,CS,shareera,594,64,70,123,91,27,122,54,104,3,3,4,1,38,4
SN,CS,shareera,595,59,61,111,89,28,108,54,94,3,3,3,1,35,4
SN,CS,shareera,596,59,60,109,89,29,106,55,92,3,3,3,1,33,4
SN,CS,shareera,597,59,59,108,87,29,105,55,90,3,3,3,1,30,4
SN,CS,shareera,598,60,59,107,87,29,104,56,89,2,4,3,1,29,4
SN,CS,shareera,599,59,59,105,87,30,102,55,87,2,4,3,0,29,4
SN,CS,shareera,600,60,59,106,87,30,101,54,87,2,4,2,1,29,4
SN,CS,shareera,601,60,58,104,88,30,98,54,86,2,4,2,1,29,3
SN,CS,shareera,602,62,59,105,91,30,98,56,86,2,3,2,1,29,3
SN,CS,shareera,603,62,62,108,91,29,96,55,87,3,3,2,1,29,3
SN,CS,shareera,604,62,62,108,90,29,94,58,90,3,3,2,1,30,2
SN,CS,shareera,605,61,59,108,89,29,92,58,84,3,2,2,2,30,2
SN,CS,shareera,606,64,60,108,89,29,92,57,84,3,2,2,3,30,2
SN,CS,shareera,607,65,61,110,92,28,93,57,83,3,2,3,3,32,2
SN,CS,shareera,608,66,62,113,92,27,91,58,85,3,3,3,3,32,2
SN,CS,shareera,609,69,63,118,93,28,96,63,86,3,3,3,3,33,1
SN,CS,shareera,610,71,65,126,96,28,99,65,84,3,3,3,4,33,1
SN,CS,shareera,611,72,67,132,95,28,100,68,86,3,3,3,4,35,1
SN,CS,shareera,612,70,69,134,95,27,98,67,82,3,3,3,5,36,1
SN,CS,shareera,613,61,62,126,80,27,87,64,74,4,2,3,5,30,1
SN,CS,shareera,614,60,60,125,77,28,86,59,72,4,2,2,5,29,1
SN,CS,shareera,615,60,64,130,79,28,87,60,71,4,2,2,5,29,1
SN,CS,shareera,616,67,67,140,81,28,89,62,75,4,2,2,5,29,1
SN,CS,shareera,617,71,72,144,85,28,97,66,84,4,3,2,5,33,1
SN,CS,shareera,618,44,48,110,71,28,63,54,63,4,4,2,5,19,1
SN,CS,shareera,619,42,49,113,70,29,64,56,62,4,4,2,5,19,1
SN,CS,shareera,620,43,51,114,70,28,64,56,63,4,4,2,5,19,1
SN,CS,shareera,621,44,53,114,70,27,66,56,67,4,4,2,5,19,1
SN,CS,shareera,622,44,53,114,68,26,65,58,67,5,4,2,5,19,1
SN,CS,shareera,623,46,53,118,71,25,71,62,68,6,4,2,5,20,1
SN,CS,shareera,624,46,54,116,70,24,71,64,68,7,4,2,5,20,1
SN,CS,shareera,625,47,54,118,69,23,70,64,68,8,4,2,5,20,1
SN,CS,shareera,626,48,55,122,67,22,70,64,69,8,4,2,5,21,1
SN,CS,shareera,627,50,57,125,67,21,74,66,70,8,4,2,5,24,1
SN,CS,shareera,628,51,58,125,69,20,75,68,71,8,5,2,5,26,1
SN,CS,shareera,629,52,57,124,70,19,75,68,72,8,5,2,5,27,2
SN,CS,shareera,630,54,57,123,69,18,74,68,73,8,6,2,5,27,2
SN,CS,shareera,631,55,61,132,70,17,80,70,80,8,6,2,5,27,3
SN,CS,shareera,632,55,62,133,71,16,79,70,82,8,7,2,5,27,3
SN,CS,shareera,633,55,62,138,71,15,80,71,81,9,7,2,5,27,3
SN,CS,shareera,634,55,62,139,71,15,82,70,81,8,8,2,5,27,3
SN,CS,shareera,635,56,62,141,70,14,79,70,81,8,8,2,5,29,3
SN,CS,shareera,636,57,63,142,70,13,77,70,80,8,8,3,5,30,3
SN,CS,shareera,637,58,64,142,68,12,77,69,82,8,8,3,5,31,3
SN,CS,shareera,638,58,64,142,67,12,79,68,82,8,8,3,5,31,3
SN,CS,shareera,639,59,65,143,67,11,80,69,84,8,8,3,6,31,3
SN,CS,shareera,640,63,74,148,68,10,87,73,93,8,8,3,6,33,4
SN,CS,shareera,641,65,77,147,71,10,89,74,97,8,8,3,6,33,4
SN,CS,shareera,642,74,90,159,72,9,96,80,111,8,9,3,6,41,4
SN,CS,shareera,643,75,94,166,72,9,99,82,113,8,9,2,6,41,5
SN,CS,shareera,644,76,94,168,71,10,98,83,113,7,9,2,6,42,5
