Text_Type,Book,Chapter,Window,Mean,StDev,normalised
SN,CS,kalpa,336,10.45,12.63,1.979596794
SN,CS,kalpa,456,10.45,14.76,1.979596794
SN,CS,kalpa,198,10.46,14.64,1.991741559
SN,CS,kalpa,427,10.46,13.02,1.991741559
SN,CS,kalpa,86,10.48,15.8,2.016031091
SN,CS,kalpa,118,10.49,11.55,2.028175856
SN,CS,kalpa,191,10.5,14.46,2.040320622
SN,CS,kalpa,276,10.5,16.01,2.040320622
SN,CS,kalpa,90,10.51,14.57,2.052465387
SN,CS,kalpa,629,10.51,16.35,2.052465387
SN,CS,kalpa,539,10.52,16.67,2.064610153
SN,CS,kalpa,547,10.53,17.16,2.076754919
SN,CS,kalpa,189,10.54,14.53,2.088899684
SN,CS,kalpa,442,10.54,16.66,2.088899684
SN,CS,kalpa,111,10.56,10.76,2.113189215
SN,CS,kalpa,112,10.56,10.76,2.113189215
SN,CS,kalpa,113,10.57,11.38,2.125333981
SN,CS,kalpa,94,10.58,13.35,2.137478747
SN,CS,kalpa,324,10.58,17.55,2.137478747
SN,CS,kalpa,123,10.59,12.29,2.149623512
SN,CS,kalpa,73,10.6,14.42,2.161768278
SN,CS,kalpa,100,10.61,12.65,2.173913043
SN,CS,kalpa,115,10.61,11.29,2.173913043
SN,CS,kalpa,187,10.61,13.93,2.173913043
SN,CS,kalpa,75,10.62,14.71,2.186057809
SN,CS,kalpa,546,10.62,17.68,2.186057809
SN,CS,kalpa,208,10.63,16.81,2.198202575
SN,CS,kalpa,426,10.63,12.96,2.198202575
SN,CS,kalpa,555,10.63,16.73,2.198202575
SN,CS,kalpa,533,10.64,17.52,2.21034734
SN,CS,kalpa,126,10.65,12.72,2.222492106
SN,CS,kalpa,461,10.65,14.64,2.222492106
SN,CS,kalpa,109,10.67,10.68,2.246781637
SN,CS,kalpa,268,10.67,15.5,2.246781637
SN,CS,kalpa,146,10.68,11.36,2.258926403
SN,CS,kalpa,188,10.69,14.48,2.271071168
SN,CS,kalpa,76,10.7,14.36,2.283215934
SN,CS,kalpa,517,10.72,14.66,2.307505465
SN,CS,kalpa,556,10.72,16.75,2.307505465
SN,CS,kalpa,116,10.73,11.46,2.319650231
SN,CS,kalpa,124,10.73,12.17,2.319650231
SN,CS,kalpa,421,10.73,12.93,2.319650231
SN,CS,kalpa,114,10.74,11.22,2.331794996
SN,CS,kalpa,102,10.75,11.5,2.343939762
SN,CS,kalpa,190,10.75,14.51,2.343939762
SN,CS,kalpa,538,10.76,16.21,2.356084528
SN,CS,kalpa,209,10.79,16.98,2.392518824
SN,CS,kalpa,451,10.81,16.02,2.416808356
SN,CS,kalpa,457,10.81,14.96,2.416808356
SN,CS,kalpa,91,10.82,14.6,2.428953121
SN,CS,kalpa,511,10.82,13.14,2.428953121
SN,CS,kalpa,630,10.82,16.82,2.428953121
SN,CS,kalpa,548,10.83,16.95,2.441097887
SN,CS,kalpa,532,10.84,17.43,2.453242652
SN,CS,kalpa,431,10.85,13.7,2.465387418
SN,CS,kalpa,93,10.86,15.31,2.477532184
SN,CS,kalpa,425,10.87,12.62,2.489676949
SN,CS,kalpa,515,10.87,14.91,2.489676949
SN,CS,kalpa,60,10.89,14.54,2.51396648
SN,CS,kalpa,519,10.89,14.85,2.51396648
SN,CS,kalpa,56,10.91,14.62,2.538256012
SN,CS,kalpa,557,10.91,17.18,2.538256012
SN,CS,kalpa,74,10.92,14.56,2.550400777
SN,CS,kalpa,88,10.92,15.34,2.550400777
SN,CS,kalpa,274,10.93,16.26,2.562545543
SN,CS,kalpa,182,10.94,14.42,2.574690308
SN,CS,kalpa,101,10.97,11.65,2.611124605
SN,CS,kalpa,147,10.97,11.4,2.611124605
SN,CS,kalpa,312,10.97,18.2,2.611124605
SN,CS,kalpa,529,10.97,17.31,2.611124605
SN,CS,kalpa,184,10.98,15.01,2.623269371
SN,CS,kalpa,460,10.98,14.97,2.623269371
SN,CS,kalpa,125,11,11.95,2.647558902
SN,CS,kalpa,444,11.01,16.16,2.659703668
SN,CS,kalpa,210,11.02,17.37,2.671848433
SN,CS,kalpa,117,11.03,11.39,2.683993199
