Text_Type,Book,Chapter,Window,Mean,StDev,nomalised
SN,CS,siddi,880,26.16,31.06,2.053246881
SN,CS,siddi,732,26.18,29.69,2.072895176
SN,CS,siddi,1012,26.2,31.4,2.092543472
SN,CS,siddi,1111,26.21,30.06,2.10236762
SN,CS,siddi,648,26.22,32.04,2.112191767
SN,CS,siddi,984,26.22,32.01,2.112191767
SN,CS,siddi,487,26.23,32.2,2.122015915
SN,CS,siddi,929,26.29,30.28,2.180960802
SN,CS,siddi,1043,26.29,30.2,2.180960802
SN,CS,siddi,631,26.31,31.11,2.200609097
SN,CS,siddi,712,26.32,30.56,2.210433245
SN,CS,siddi,702,26.33,29.39,2.220257393
SN,CS,siddi,716,26.33,30.25,2.220257393
SN,CS,siddi,1137,26.33,30.16,2.220257393
SN,CS,siddi,883,26.37,32.16,2.259553984
SN,CS,siddi,1013,26.37,31.85,2.259553984
SN,CS,siddi,617,26.38,29.37,2.269378131
SN,CS,siddi,737,26.38,27.3,2.269378131
SN,CS,siddi,990,26.4,31.65,2.289026427
SN,CS,siddi,1011,26.4,30.85,2.289026427
SN,CS,siddi,620,26.41,30.95,2.298850575
SN,CS,siddi,713,26.42,30.55,2.308674722
SN,CS,siddi,700,26.43,30.06,2.31849887
SN,CS,siddi,734,26.43,27.88,2.31849887
SN,CS,siddi,885,26.43,31.91,2.31849887
SN,CS,siddi,887,26.44,30.6,2.328323018
SN,CS,siddi,932,26.44,28.43,2.328323018
SN,CS,siddi,556,26.45,32.21,2.338147166
SN,CS,siddi,317,26.47,27.61,2.357795461
SN,CS,siddi,318,26.47,27.61,2.357795461
SN,CS,siddi,1014,26.47,32.21,2.357795461
SN,CS,siddi,491,26.48,32.73,2.367619609
SN,CS,siddi,890,26.48,30.28,2.367619609
SN,CS,siddi,639,26.49,32.98,2.377443757
SN,CS,siddi,319,26.51,28.12,2.397092052
SN,CS,siddi,928,26.51,31.17,2.397092052
SN,CS,siddi,991,26.51,31.41,2.397092052
SN,CS,siddi,714,26.52,30.94,2.4069162
SN,CS,siddi,429,26.54,27.29,2.426564496
SN,CS,siddi,647,26.54,32.62,2.426564496
SN,CS,siddi,738,26.54,27.24,2.426564496
