Text_Type,Book,Chapter,Window,Mean,StDev,normalised
SN,CS,nidana,166,40.94,23.02,47.8300345
SN,CS,nidana,73,42.61,24.91,50.86253859
SN,CS,nidana,74,48.03,27.12,60.70455784
SN,CS,nidana,89,51.88,26.77,67.69566007
SN,CS,nidana,75,60.18,31.89,82.76738696
SN,CS,nidana,88,61.54,30.46,85.23697113
SN,CS,nidana,79,62.55,33.55,87.07100054
SN,CS,nidana,77,62.64,33.46,87.23442891
SN,CS,nidana,78,63.82,33.87,89.37715635
SN,CS,nidana,76,64.03,33.96,89.7584892
SN,CS,nidana,80,65.62,34.37,92.64572362
SN,CS,nidana,83,65.94,33.11,93.22680225
SN,CS,nidana,85,66.62,33.22,94.46159433
SN,CS,nidana,87,67.01,32.65,95.16978391
SN,CS,nidana,84,67.6,33.24,96.24114763
SN,CS,nidana,81,68.31,34.98,97.53041583
SN,CS,nidana,86,69.25,33.67,99.2373343
SN,CS,nidana,82,69.67,35.32,100
