Text_Type,Book,Chapter,Window,Mean,StDev,Normalised Mean
SN,AH,nidana,492,6.34,2.81,8.192771084
SN,AH,nidana,142,6.35,2.92,8.273092369
SN,AH,nidana,840,6.35,2.72,8.273092369
SN,AH,nidana,1117,6.35,2.56,8.273092369
SN,AH,nidana,324,6.37,2.7,8.43373494
SN,AH,nidana,327,6.37,2.8,8.43373494
SN,AH,nidana,812,6.37,2.61,8.43373494
SN,AH,nidana,999,6.37,2.79,8.43373494
SN,AH,nidana,1153,6.37,2.87,8.43373494
SN,AH,nidana,1215,6.37,2.54,8.43373494
SN,AH,nidana,971,6.38,2.92,8.514056225
SN,AH,nidana,1188,6.38,2.53,8.514056225
SN,AH,nidana,1189,6.38,2.53,8.514056225
SN,AH,nidana,1190,6.38,2.61,8.514056225
SN,AH,nidana,843,6.39,2.86,8.59437751
SN,AH,nidana,844,6.39,2.81,8.59437751
SN,AH,nidana,568,6.4,2.68,8.674698795
SN,AH,nidana,1003,6.4,2.79,8.674698795
SN,AH,nidana,1212,6.4,2.83,8.674698795
SN,AH,nidana,1423,6.4,2.85,8.674698795
SN,AH,nidana,415,6.41,2.98,8.75502008
SN,AH,nidana,972,6.41,2.93,8.75502008
SN,AH,nidana,1199,6.41,2.58,8.75502008
SN,AH,nidana,276,6.42,2.9,8.835341365
SN,AH,nidana,483,6.42,3.1,8.835341365
SN,AH,nidana,496,6.42,2.77,8.835341365
SN,AH,nidana,929,6.42,3.1,8.835341365
SN,AH,nidana,1001,6.43,2.78,8.915662651
SN,AH,nidana,482,6.44,3.04,8.995983936
SN,AH,nidana,1213,6.45,2.89,9.076305221
SN,AH,nidana,1296,6.45,2.98,9.076305221
SN,AH,nidana,743,6.46,3.03,9.156626506
SN,AH,nidana,1101,6.46,2.79,9.156626506
SN,AH,nidana,490,6.47,2.93,9.236947791
SN,AH,nidana,928,6.47,3.12,9.236947791
SN,AH,nidana,1116,6.47,2.58,9.236947791
SN,AH,nidana,1154,6.47,2.94,9.236947791
SN,AH,nidana,804,6.48,2.86,9.317269076
SN,AH,nidana,1162,6.48,2.91,9.317269076
SN,AH,nidana,1424,6.48,2.85,9.317269076
SN,AH,nidana,715,6.49,2.75,9.397590361
SN,AH,nidana,966,6.49,2.31,9.397590361
SN,AH,nidana,1140,6.49,3.06,9.397590361
SN,AH,nidana,573,6.5,2.77,9.477911647
SN,AH,nidana,1151,6.5,3.02,9.477911647
SN,AH,nidana,1152,6.5,3,9.477911647
SN,AH,nidana,1398,6.5,2.68,9.477911647
SN,AH,nidana,714,6.51,2.69,9.558232932
SN,AH,nidana,1159,6.51,2.94,9.558232932
SN,AH,nidana,841,6.52,2.73,9.638554217
SN,AH,nidana,1112,6.52,2.79,9.638554217
SN,AH,nidana,246,6.53,2.91,9.718875502
SN,AH,nidana,748,6.53,3,9.718875502
SN,AH,nidana,813,6.53,2.56,9.718875502
SN,AH,nidana,998,6.53,2.83,9.718875502
SN,AH,nidana,1000,6.53,2.77,9.718875502
SN,AH,nidana,1157,6.53,2.96,9.718875502
SN,AH,nidana,141,6.54,2.81,9.799196787
SN,AH,nidana,803,6.54,2.87,9.799196787
SN,AH,nidana,62,6.55,2.77,9.879518072
SN,AH,nidana,502,6.55,2.46,9.879518072
SN,AH,nidana,1211,6.55,2.95,9.879518072
SN,AH,nidana,811,6.56,2.65,9.959839357
SN,AH,nidana,1113,6.56,2.75,9.959839357
SN,AH,nidana,448,6.57,2.81,10.04016064
SN,AH,nidana,716,6.57,2.64,10.04016064
SN,AH,nidana,742,6.57,3.1,10.04016064
SN,AH,nidana,1096,6.57,2.72,10.04016064
SN,AH,nidana,1192,6.57,2.57,10.04016064
SN,AH,nidana,318,6.58,2.55,10.12048193
SN,AH,nidana,842,6.58,2.84,10.12048193
SN,AH,nidana,1387,6.58,2.67,10.12048193
SN,AH,nidana,1389,6.58,2.69,10.12048193
SN,AH,nidana,152,6.59,2.81,10.20080321
SN,AH,nidana,258,6.59,2.97,10.20080321
SN,AH,nidana,1122,6.59,2.91,10.20080321
SN,AH,nidana,682,6.6,2.98,10.2811245
SN,AH,nidana,1111,6.6,2.87,10.2811245
SN,AH,nidana,53,6.61,3.08,10.36144578
SN,AH,nidana,1121,6.61,3.01,10.36144578
SN,AH,nidana,1165,6.61,2.82,10.36144578
SN,AH,nidana,1386,6.61,2.68,10.36144578
SN,AH,nidana,60,6.62,2.82,10.44176707
SN,AH,nidana,149,6.62,2.72,10.44176707
SN,AH,nidana,1209,6.62,2.87,10.44176707
SN,AH,nidana,1137,6.63,2.94,10.52208835
SN,AH,nidana,834,6.64,2.65,10.60240964
SN,AH,nidana,744,6.65,3,10.68273092
SN,AH,nidana,1239,6.65,2.51,10.68273092
SN,AH,nidana,681,6.66,3.09,10.76305221
SN,AH,nidana,1095,6.66,2.77,10.76305221
SN,AH,nidana,1123,6.66,2.85,10.76305221
SN,AH,nidana,1158,6.66,2.94,10.76305221
SN,AH,nidana,1094,6.67,2.81,10.84337349
SN,AH,nidana,1186,6.67,2.55,10.84337349
SN,AH,nidana,5,6.68,3.16,10.92369478
SN,AH,nidana,153,6.68,2.72,10.92369478
SN,AH,nidana,635,6.68,2.95,10.92369478
SN,AH,nidana,1099,6.68,2.84,10.92369478
SN,AH,nidana,1100,6.68,2.84,10.92369478
SN,AH,nidana,1201,6.68,2.79,10.92369478
SN,AH,nidana,154,6.7,2.65,11.08433735
SN,AH,nidana,662,6.7,2.64,11.08433735
SN,AH,nidana,1114,6.7,2.87,11.08433735
SN,AH,nidana,1369,6.7,2.51,11.08433735
SN,AH,nidana,59,6.71,2.8,11.16465863
SN,AH,nidana,845,6.71,2.96,11.16465863
SN,AH,nidana,317,6.72,2.72,11.24497992
SN,AH,nidana,854,6.72,2.97,11.24497992
SN,AH,nidana,491,6.73,2.87,11.3253012
SN,AH,nidana,495,6.73,2.94,11.3253012
SN,AH,nidana,965,6.73,2.4,11.3253012
SN,AH,nidana,1179,6.73,2.85,11.3253012
SN,AH,nidana,667,6.74,2.8,11.40562249
SN,AH,nidana,802,6.74,2.89,11.40562249
SN,AH,nidana,1005,6.74,2.77,11.40562249
SN,AH,nidana,1092,6.74,2.93,11.40562249
SN,AH,nidana,71,6.75,2.93,11.48594378
SN,AH,nidana,1136,6.76,3.07,11.56626506
SN,AH,nidana,450,6.77,2.88,11.64658635
SN,AH,nidana,1138,6.77,3.2,11.64658635
SN,AH,nidana,1139,6.77,3.2,11.64658635
SN,AH,nidana,277,6.78,3.02,11.72690763
SN,AH,nidana,1119,6.78,2.99,11.72690763
SN,AH,nidana,1120,6.78,2.99,11.72690763
SN,AH,nidana,399,6.79,2.8,11.80722892
SN,AH,nidana,449,6.79,2.93,11.80722892
SN,AH,nidana,565,6.79,2.8,11.80722892
SN,AH,nidana,1394,6.79,2.76,11.80722892
SN,AH,nidana,579,6.8,2.95,11.8875502
SN,AH,nidana,750,6.8,3.14,11.8875502
SN,AH,nidana,1166,6.8,2.92,11.8875502
SN,AH,nidana,1196,6.8,2.73,11.8875502
SN,AH,nidana,1240,6.8,2.64,11.8875502
SN,AH,nidana,1395,6.8,2.72,11.8875502
SN,AH,nidana,150,6.81,2.8,11.96787149
SN,AH,nidana,481,6.81,3.22,11.96787149
SN,AH,nidana,494,6.81,2.93,11.96787149
SN,AH,nidana,519,6.81,2.59,11.96787149
SN,AH,nidana,973,6.81,3.22,11.96787149
SN,AH,nidana,1225,6.81,3.18,11.96787149
SN,AH,nidana,1545,6.81,2.81,11.96787149
SN,AH,nidana,1368,6.82,2.55,12.04819277
SN,AH,nidana,1107,6.83,3.01,12.12851406
SN,AH,nidana,1191,6.83,2.66,12.12851406
SN,AH,nidana,61,6.84,2.92,12.20883534
SN,AH,nidana,247,6.84,3.03,12.20883534
SN,AH,nidana,717,6.84,2.61,12.20883534
SN,AH,nidana,846,6.84,2.98,12.20883534
SN,AH,nidana,1298,6.84,3.36,12.20883534
SN,AH,nidana,1353,6.84,2.93,12.20883534
SN,AH,nidana,1541,6.84,2.89,12.20883534
SN,AH,nidana,567,6.85,2.78,12.28915663
SN,AH,nidana,575,6.85,2.93,12.28915663
SN,AH,nidana,1105,6.85,2.95,12.28915663
SN,AH,nidana,52,6.86,3.14,12.36947791
SN,AH,nidana,486,6.86,3.39,12.36947791
SN,AH,nidana,680,6.86,3.07,12.36947791
SN,AH,nidana,772,6.87,2.78,12.4497992
SN,AH,nidana,135,6.88,2.92,12.53012048
SN,AH,nidana,140,6.88,2.95,12.53012048
SN,AH,nidana,1160,6.88,3.05,12.53012048
SN,AH,nidana,416,6.89,3.1,12.61044177
SN,AH,nidana,751,6.89,3.2,12.61044177
SN,AH,nidana,988,6.89,3.26,12.61044177
SN,AH,nidana,1161,6.89,3.11,12.61044177
SN,AH,nidana,1193,6.89,2.66,12.61044177
SN,AH,nidana,1097,6.9,2.79,12.69076305
SN,AH,nidana,1180,6.9,2.85,12.69076305
SN,AH,nidana,1355,6.9,3.03,12.69076305
SN,AH,nidana,1433,6.9,3.12,12.69076305
SN,AH,nidana,997,6.91,3.09,12.77108434
SN,AH,nidana,1106,6.91,2.98,12.77108434
SN,AH,nidana,1197,6.91,2.79,12.77108434
SN,AH,nidana,259,6.92,3.07,12.85140562
SN,AH,nidana,713,6.92,2.81,12.85140562
SN,AH,nidana,1142,6.92,3.28,12.85140562
SN,AH,nidana,1238,6.92,2.56,12.85140562
SN,AH,nidana,1506,6.92,2.87,12.85140562
SN,AH,nidana,666,6.93,2.76,12.93172691
SN,AH,nidana,852,6.93,2.95,12.93172691
SN,AH,nidana,1135,6.93,2.97,12.93172691
SN,AH,nidana,1434,6.93,3.11,12.93172691
SN,AH,nidana,56,6.94,2.95,13.01204819
SN,AH,nidana,57,6.96,3.02,13.17269076
SN,AH,nidana,907,6.96,3.26,13.17269076
SN,AH,nidana,1352,6.97,3.01,13.25301205
SN,AH,nidana,552,6.98,2.77,13.33333333
SN,AH,nidana,847,6.98,3.02,13.33333333
SN,AH,nidana,665,6.99,2.83,13.41365462
SN,AH,nidana,683,6.99,3,13.41365462
SN,AH,nidana,72,7,3.05,13.4939759
SN,AH,nidana,520,7,2.52,13.4939759
SN,AH,nidana,661,7,2.71,13.4939759
SN,AH,nidana,1432,7,3.21,13.4939759
SN,AH,nidana,131,7.01,3.16,13.57429719
SN,AH,nidana,1295,7.01,3.12,13.57429719
SN,AH,nidana,7,7.02,3.14,13.65461847
SN,AH,nidana,1006,7.02,2.82,13.65461847
SN,AH,nidana,6,7.03,3.23,13.73493976
SN,AH,nidana,504,7.03,2.62,13.73493976
SN,AH,nidana,990,7.03,3.31,13.73493976
SN,AH,nidana,1210,7.03,3,13.73493976
SN,AH,nidana,1422,7.03,2.97,13.73493976
SN,AH,nidana,447,7.04,2.95,13.81526104
SN,AH,nidana,670,7.04,2.95,13.81526104
SN,AH,nidana,830,7.04,2.78,13.81526104
SN,AH,nidana,1393,7.04,2.88,13.81526104
SN,AH,nidana,155,7.05,2.67,13.89558233
SN,AH,nidana,577,7.05,3.07,13.89558233
SN,AH,nidana,1093,7.05,3,13.89558233
SN,AH,nidana,1363,7.06,2.78,13.97590361
SN,AH,nidana,372,7.07,3.11,14.0562249
SN,AH,nidana,685,7.07,2.91,14.0562249
SN,AH,nidana,964,7.07,2.48,14.0562249
SN,AH,nidana,1364,7.07,2.79,14.0562249
SN,AH,nidana,1431,7.07,3.24,14.0562249
SN,AH,nidana,1399,7.08,2.87,14.13654618
SN,AH,nidana,134,7.1,3.09,14.29718876
SN,AH,nidana,398,7.1,2.8,14.29718876
SN,AH,nidana,718,7.1,2.72,14.29718876
SN,AH,nidana,1109,7.1,3.09,14.29718876
SN,AH,nidana,177,7.11,2.99,14.37751004
SN,AH,nidana,835,7.11,2.81,14.37751004
SN,AH,nidana,1236,7.11,2.66,14.37751004
SN,AH,nidana,176,7.12,2.98,14.45783133
SN,AH,nidana,771,7.12,2.87,14.45783133
SN,AH,nidana,1237,7.12,2.62,14.45783133
SN,AH,nidana,1301,7.12,3.41,14.45783133
SN,AH,nidana,1302,7.12,3.41,14.45783133
SN,AH,nidana,1510,7.12,2.89,14.45783133
SN,AH,nidana,837,7.13,2.69,14.53815261
SN,AH,nidana,1354,7.13,3.1,14.53815261
SN,AH,nidana,485,7.14,3.49,14.6184739
SN,AH,nidana,962,7.14,2.47,14.6184739
SN,AH,nidana,1356,7.14,3.12,14.6184739
SN,AH,nidana,1367,7.14,2.73,14.6184739
SN,AH,nidana,1391,7.14,2.9,14.6184739
SN,AH,nidana,278,7.15,3.14,14.69879518
SN,AH,nidana,316,7.15,2.87,14.69879518
SN,AH,nidana,821,7.15,2.76,14.69879518
SN,AH,nidana,1325,7.15,2.95,14.69879518
SN,AH,nidana,959,7.16,2.46,14.77911647
SN,AH,nidana,1435,7.16,3.18,14.77911647
SN,AH,nidana,1508,7.16,2.93,14.77911647
SN,AH,nidana,132,7.17,3.24,14.85943775
SN,AH,nidana,908,7.17,3.25,14.85943775
SN,AH,nidana,50,7.18,3.09,14.93975904
SN,AH,nidana,960,7.18,2.42,14.93975904
SN,AH,nidana,1507,7.18,2.86,14.93975904
SN,AH,nidana,1542,7.18,2.88,14.93975904
SN,AH,nidana,166,7.19,2.75,15.02008032
SN,AH,nidana,417,7.19,3.18,15.02008032
SN,AH,nidana,1543,7.19,2.85,15.02008032
