Text_Type,Book,Chapter,Window,Avg Word Len,Avg Sen Len (Word),Avg Sen Len (Chr),Richness,Shannon,Avg Compound Words
SN,AS,shareera,231,9.37,6.08,26.12,0.91,0.14,0.03
SN,AS,shareera,232,9.3,6.04,25.76,0.91,0.14,0.03
SN,AS,shareera,233,9.13,6.2,26.0,0.9,0.14,0.03
SN,AS,shareera,234,8.94,6.44,26.44,0.88,0.14,0.02
SN,AS,shareera,235,8.81,6.88,27.8,0.84,0.14,0.02
SN,AS,shareera,236,8.84,6.84,27.76,0.84,0.14,0.02
SN,AS,shareera,237,8.54,7.2,28.12,0.82,0.14,0.02
SN,AS,shareera,238,8.67,7.24,28.68,0.82,0.15,0.02
SN,AS,shareera,239,8.59,7.08,27.92,0.81,0.15,0.02
SN,AS,shareera,240,8.68,7.36,29.28,0.82,0.15,0.02
SN,AS,shareera,241,8.66,7.2,28.84,0.82,0.15,0.02
SN,AS,shareera,242,8.72,7.2,28.92,0.82,0.15,0.02
SN,AS,shareera,243,8.57,7.36,29.12,0.81,0.15,0.02
SN,AS,shareera,244,8.38,7.24,28.12,0.81,0.15,0.02
SN,AS,shareera,245,8.21,7.48,28.32,0.79,0.15,0.02
SN,AS,shareera,246,8.3,7.6,28.96,0.79,0.15,0.02
SN,AS,shareera,247,8.2,7.48,28.2,0.79,0.15,0.02
SN,AS,shareera,248,8.28,7.56,28.68,0.78,0.15,0.02
SN,AS,shareera,249,8.22,7.52,28.2,0.78,0.15,0.01
SN,AS,shareera,250,7.97,8.04,29.4,0.76,0.15,0.01
SN,AS,shareera,251,7.93,8.4,30.52,0.75,0.15,0.01
SN,AS,shareera,252,7.92,8.48,30.76,0.75,0.15,0.01
SN,AS,shareera,253,7.61,7.4,25.84,0.73,0.16,0.01
SN,AS,shareera,254,7.64,7.44,26.24,0.73,0.16,0.01
SN,AS,shareera,255,7.78,7.16,25.52,0.74,0.16,0.01
SN,AS,shareera,256,7.85,7.08,25.4,0.74,0.16,0.01
SN,AS,shareera,257,7.95,7.64,27.84,0.74,0.15,0.01
SN,AS,shareera,258,8.12,7.68,28.52,0.74,0.15,0.01
SN,AS,shareera,259,8.25,7.68,29.04,0.74,0.15,0.01
SN,AS,shareera,260,8.3,7.0,26.84,0.75,0.15,0.01
SN,AS,shareera,261,8.57,7.48,29.88,0.74,0.15,0.01
SN,AS,shareera,262,8.81,7.2,29.76,0.75,0.15,0.02
SN,AS,shareera,263,8.84,7.12,29.36,0.75,0.15,0.02
SN,AS,shareera,264,8.85,7.0,28.88,0.74,0.15,0.02
SN,AS,shareera,265,8.75,6.64,27.24,0.74,0.15,0.02
SN,AS,shareera,266,8.87,6.64,27.48,0.75,0.15,0.02
SN,AS,shareera,267,8.81,6.68,27.68,0.76,0.15,0.01
SN,AS,shareera,268,8.96,6.44,27.0,0.77,0.15,0.01
SN,AS,shareera,269,9.1,6.36,27.0,0.77,0.15,0.01
SN,AS,shareera,270,9.29,6.04,26.16,0.78,0.15,0.01
SN,AS,shareera,271,9.17,6.0,25.88,0.78,0.15,0.01
SN,AS,shareera,272,9.2,6.36,27.52,0.77,0.15,0.02
SN,AS,shareera,273,9.23,6.16,26.68,0.78,0.15,0.02
SN,AS,shareera,274,10.15,6.08,29.28,0.78,0.15,0.03
SN,AS,shareera,275,10.97,5.28,27.28,0.83,0.15,0.04
SN,AS,shareera,276,11.29,5.16,27.72,0.86,0.15,0.04
SN,AS,shareera,277,11.32,5.16,27.6,0.87,0.15,0.04
SN,AS,shareera,278,11.48,5.28,28.48,0.87,0.15,0.04
SN,AS,shareera,279,11.5,5.08,27.48,0.87,0.15,0.04
SN,AS,shareera,280,11.64,4.92,27.16,0.89,0.15,0.04
SN,AS,shareera,281,11.55,5.0,27.4,0.88,0.15,0.04
SN,AS,shareera,282,11.9,4.4,24.96,0.9,0.15,0.05
SN,AS,shareera,283,12.01,4.28,24.48,0.89,0.16,0.05
SN,AS,shareera,284,12.33,4.04,23.68,0.88,0.16,0.06
SN,AS,shareera,285,12.12,4.12,23.72,0.87,0.16,0.06
SN,AS,shareera,286,12.05,3.68,20.8,0.88,0.16,0.05
SN,AS,shareera,287,11.95,3.64,20.24,0.88,0.17,0.04
SN,AS,shareera,288,11.93,3.64,20.28,0.87,0.17,0.04
SN,AS,shareera,289,11.87,3.72,20.8,0.86,0.17,0.04
SN,AS,shareera,290,11.98,3.8,21.28,0.86,0.17,0.04
SN,AS,shareera,291,11.81,3.84,21.28,0.85,0.17,0.04
SN,AS,shareera,292,11.74,3.88,21.24,0.85,0.18,0.04
SN,AS,shareera,293,11.59,3.96,21.56,0.84,0.18,0.04
SN,AS,shareera,294,11.5,4.0,21.8,0.83,0.18,0.04
SN,AS,shareera,295,11.5,4.04,22.08,0.82,0.18,0.04
