Text_Type,Book,Chapter,Window,Avg Word Len,Avg Sen Len (Word),Avg Sen Len (Chr),Richness,Shannon,Avg Compound Words
SN,AS,uttara,7240,9.89,3.96,18.8,0.95,0.15,0.02
SN,AS,uttara,7241,9.7,3.88,18.12,0.94,0.16,0.02
SN,AS,uttara,7242,10.03,3.64,17.48,0.95,0.16,0.02
SN,AS,uttara,7243,9.78,3.72,17.32,0.95,0.16,0.02
SN,AS,uttara,7244,9.79,3.76,17.36,0.95,0.16,0.02
SN,AS,uttara,7245,9.67,3.8,17.32,0.96,0.16,0.02
SN,AS,uttara,7246,9.83,3.8,17.44,0.96,0.16,0.02
SN,AS,uttara,7247,10.08,3.72,17.44,0.96,0.16,0.03
SN,AS,uttara,7248,10.27,3.64,17.4,0.96,0.16,0.04
SN,AS,uttara,7249,10.61,3.52,17.44,0.97,0.16,0.05
SN,AS,uttara,7250,10.93,3.44,17.48,0.98,0.16,0.05
SN,AS,uttara,7251,10.99,3.44,17.48,0.98,0.16,0.05
SN,AS,uttara,7252,11.19,3.44,17.76,0.98,0.16,0.05
SN,AS,uttara,7253,10.63,3.64,17.96,0.97,0.16,0.04
SN,AS,uttara,7254,10.49,3.68,18.0,0.96,0.16,0.04
SN,AS,uttara,7255,10.38,3.72,18.04,0.96,0.16,0.04
SN,AS,uttara,7256,10.14,3.88,18.28,0.94,0.16,0.04
SN,AS,uttara,7257,10.22,3.96,18.52,0.94,0.16,0.04
SN,AS,uttara,7258,10.13,4.04,18.76,0.94,0.16,0.04
SN,AS,uttara,7259,9.98,4.04,18.48,0.93,0.16,0.03
SN,AS,uttara,7260,9.56,4.08,17.92,0.92,0.16,0.02
SN,AS,uttara,7261,9.35,4.12,17.76,0.93,0.16,0.02
SN,AS,uttara,7262,9.6,4.0,17.48,0.93,0.16,0.02
SN,AS,uttara,7263,9.72,4.0,17.6,0.93,0.16,0.02
SN,AS,uttara,7264,9.77,3.96,17.56,0.93,0.16,0.02
SN,AS,uttara,7265,9.7,4.04,17.76,0.92,0.16,0.02
SN,AS,uttara,7266,9.72,4.12,18.0,0.92,0.16,0.02
SN,AS,uttara,7267,9.49,4.28,18.2,0.92,0.16,0.02
SN,AS,uttara,7268,9.79,4.2,18.44,0.91,0.16,0.03
SN,AS,uttara,7269,9.98,4.12,18.44,0.91,0.16,0.04
SN,AS,uttara,7270,10.23,4.04,18.48,0.91,0.16,0.04
SN,AS,uttara,7271,10.29,4.0,18.4,0.91,0.16,0.05
SN,AS,uttara,7272,9.89,4.16,18.36,0.91,0.16,0.04
SN,AS,uttara,7273,9.56,4.32,18.4,0.91,0.16,0.03
SN,AS,uttara,7274,9.41,4.4,18.4,0.91,0.16,0.03
SN,AS,uttara,7275,9.45,4.36,18.4,0.91,0.16,0.03
SN,AS,uttara,7276,9.17,4.48,18.4,0.9,0.16,0.03
SN,AS,uttara,7277,9.3,4.36,18.16,0.91,0.16,0.03
SN,AS,uttara,7278,9.63,4.16,17.92,0.93,0.15,0.03
SN,AS,uttara,7279,9.82,4.08,17.88,0.93,0.15,0.03
SN,AS,uttara,7280,10.08,4.04,18.2,0.93,0.15,0.03
SN,AS,uttara,7281,10.75,3.8,18.28,0.95,0.16,0.03
SN,AS,uttara,7282,11.05,3.68,18.28,0.95,0.16,0.04
SN,AS,uttara,7283,11.31,3.6,18.28,0.94,0.16,0.04
SN,AS,uttara,7284,11.24,3.6,18.12,0.96,0.16,0.04
SN,AS,uttara,7285,11.69,3.48,18.12,0.97,0.16,0.05
SN,AS,uttara,7286,12.0,3.44,18.28,0.97,0.16,0.05
SN,AS,uttara,7287,11.33,3.68,18.64,0.97,0.16,0.04
SN,AS,uttara,7288,11.62,3.56,18.52,0.98,0.16,0.04
SN,AS,uttara,7289,11.75,3.52,18.52,0.95,0.16,0.05
