Book,Chapter,LLL,LLG,LGL,LGG,GLL,GLG,GGL,GGG,GG,GL,LG,LL,G,L
AH,chikitsa,246,1797,4903,2437,1372,4416,3209,4592,60,14,99,246,3181,299
AH,kalpa,29,303,692,490,276,839,564,795,2,1,52,1,394,46
AH,nidana,54,579,1766,986,435,1806,1218,1841,8,0,37,2,1230,108
AH,shareera,52,452,1214,723,367,1310,816,1394,8,1,32,1,778,110
AH,sutra,224,1324,3627,2154,1073,3852,2517,3812,19,0,109,11,2349,287
AH,uttara,407,2274,5430,3442,1870,6239,4250,5688,72,11,298,21,3208,275
AS,chikitsa,880,2455,5007,3046,2132,5013,3769,4417,191,98,210,24,2760,353
AS,kalpa,137,496,1153,558,448,1135,759,1036,25,26,45,8,711,92
AS,nidana,194,671,1862,967,513,1719,1149,1739,43,21,43,12,1176,138
AS,shareera,577,1051,1546,1614,944,2041,1556,2058,161,109,152,54,613,212
AS,sutra,1489,3446,6665,4291,2912,6840,5160,6137,365,181,305,1489,3373,569
AS,uttara,1324,4250,9902,5120,3510,9016,6543,8383,372,144,355,35,5838,563
CS,chikitsa,746,4769,13292,5023,4104,12327,8803,11075,225,97,119,19,8537,1261
CS,indriya,18,372,873,329,200,720,441,743,19,1,14,1,532,117
CS,kalpa,25,393,796,359,214,748,445,772,18,3,17,4,534,85
CS,nidana,368,523,750,763,481,942,798,835,27,17,14,14,136,49
CS,shareera,587,969,1394,1327,889,1875,1627,2056,81,32,42,19,467,110
CS,siddi,192,784,1977,811,783,2022,1433,1715,32,11,26,7,1028,162
