Text_Type,Book,Chapter,Window,LLG,LGG,LL,G,GGL,GLG,GLL,LGL,LG,GGG,LLL,GG,GL,L
SN,CS,indriya,79,62,61,0,45,66,105,35,103,3,99,13,7,1,14
SN,CS,indriya,80,62,59,0,45,66,105,35,103,3,101,13,7,1,14
SN,CS,indriya,81,63,59,0,45,65,105,35,103,3,101,13,7,1,14
SN,CS,indriya,82,63,59,0,46,65,105,35,105,3,102,13,6,1,14
SN,CS,indriya,83,62,59,0,47,66,106,35,106,2,103,13,6,1,14
SN,CS,indriya,84,63,59,0,47,66,104,36,105,2,104,13,6,1,14
SN,CS,indriya,85,63,59,0,47,67,104,36,105,2,103,13,6,1,14
SN,CS,indriya,86,62,58,0,47,66,105,37,105,2,104,13,6,1,14
SN,CS,indriya,87,62,58,0,47,67,103,36,105,2,106,13,6,1,14
SN,CS,indriya,88,62,58,0,47,67,104,35,104,2,107,13,6,1,14
SN,CS,indriya,89,62,58,0,46,67,103,35,104,2,108,13,6,1,15
SN,CS,indriya,90,61,58,0,46,67,105,33,104,2,109,13,6,1,15
SN,CS,indriya,91,62,59,0,46,67,103,32,105,2,109,13,6,1,15
SN,CS,indriya,92,60,59,0,45,68,104,32,104,3,110,13,6,1,15
SN,CS,indriya,93,59,59,0,45,69,104,33,104,3,109,13,6,1,15
SN,CS,indriya,94,60,57,0,44,71,103,33,103,4,111,13,6,1,15
SN,CS,indriya,95,60,58,0,44,69,104,33,104,3,109,13,6,1,16
SN,CS,indriya,96,59,60,0,43,68,105,32,103,3,110,13,6,1,16
SN,CS,indriya,97,59,58,0,43,67,104,33,101,3,109,13,7,1,16
SN,CS,indriya,98,58,57,0,44,68,106,32,102,3,110,13,6,1,16
SN,CS,indriya,99,58,58,0,44,68,106,31,102,3,110,13,6,1,16
SN,CS,indriya,100,58,58,0,45,69,107,30,102,3,109,13,6,1,15
SN,CS,indriya,101,57,55,0,45,69,103,31,101,3,107,13,6,1,15
SN,CS,indriya,102,56,54,0,46,68,103,31,101,3,107,12,6,1,14
SN,CS,indriya,103,53,50,0,47,63,99,30,100,3,96,11,5,1,14
SN,CS,indriya,104,52,49,0,48,63,101,30,101,3,95,11,5,0,14
SN,CS,indriya,105,52,46,0,48,61,99,26,98,3,87,10,5,0,14
SN,CS,indriya,106,48,42,0,48,62,95,24,95,3,81,8,5,0,14
SN,CS,indriya,107,47,40,0,49,59,95,24,96,3,82,8,5,0,14
SN,CS,indriya,108,48,39,0,50,58,96,23,97,3,80,8,5,0,14
SN,CS,indriya,109,48,39,0,50,57,96,23,98,3,79,7,4,0,15
SN,CS,indriya,110,49,37,0,51,56,95,22,98,3,80,7,4,0,15
SN,CS,indriya,111,49,37,0,50,55,95,22,99,3,79,7,4,0,16
SN,CS,indriya,112,43,29,0,50,50,85,22,90,3,76,3,4,0,16
SN,CS,indriya,113,43,27,0,51,47,84,22,91,3,74,2,3,0,16
SN,CS,indriya,114,42,28,0,52,46,82,22,90,3,74,1,2,0,16
SN,CS,indriya,115,42,26,0,52,46,79,21,90,3,76,1,2,0,17
SN,CS,indriya,116,41,22,0,52,45,81,21,90,3,76,0,2,0,17
SN,CS,indriya,117,41,22,0,53,45,80,21,92,2,74,0,2,0,17
SN,CS,indriya,118,41,23,0,54,45,79,21,93,2,73,0,2,0,16
SN,CS,indriya,119,41,23,0,54,42,77,22,93,2,74,0,2,0,16
SN,CS,indriya,120,41,23,0,55,44,77,21,94,2,74,0,1,0,16
SN,CS,indriya,121,41,23,0,55,42,77,21,95,2,75,0,1,0,16
SN,CS,indriya,122,41,22,0,56,42,76,21,96,2,76,0,1,0,15
SN,CS,indriya,123,41,21,0,56,43,74,21,96,2,78,0,1,0,15
SN,CS,indriya,124,40,20,0,56,43,75,21,96,2,79,0,1,0,15
SN,CS,indriya,125,39,21,0,56,43,77,21,95,2,78,0,1,0,15
SN,CS,indriya,126,40,21,0,56,45,75,21,94,2,78,0,1,0,15
SN,CS,indriya,127,40,22,0,56,45,75,21,93,2,78,0,1,0,15
SN,CS,indriya,128,39,22,0,57,45,76,21,91,2,80,0,1,0,14
SN,CS,indriya,129,40,22,0,57,45,76,20,91,2,80,0,1,0,14
SN,CS,indriya,130,39,22,0,58,45,77,19,91,2,81,0,1,0,13
SN,CS,indriya,131,38,22,0,58,45,77,19,90,2,83,0,1,0,13
SN,CS,indriya,132,38,22,0,58,44,77,21,91,2,81,0,1,0,13
SN,CS,indriya,133,37,23,0,58,45,77,20,90,2,82,0,1,0,13
SN,CS,indriya,134,36,22,0,57,46,78,20,89,2,83,0,1,0,14
SN,CS,indriya,135,36,22,0,58,47,78,19,90,2,82,0,1,0,13
SN,CS,indriya,136,36,22,0,59,48,77,19,91,2,81,0,1,0,12
SN,CS,indriya,137,36,22,0,59,46,77,19,92,2,82,0,1,0,12
SN,CS,indriya,138,35,22,0,59,45,78,19,92,2,83,0,1,0,12
SN,CS,indriya,139,35,21,0,59,46,78,20,92,2,82,0,1,0,12
SN,CS,indriya,140,36,21,0,60,46,76,20,92,2,83,0,1,0,11
SN,CS,indriya,141,36,21,0,60,47,76,19,92,2,83,0,1,0,11
SN,CS,indriya,142,36,21,0,61,46,77,19,92,2,83,0,1,0,10
SN,CS,indriya,143,35,23,0,60,46,77,19,92,2,82,0,1,0,11
SN,CS,indriya,144,35,23,0,60,44,79,20,92,2,81,0,1,0,11
SN,CS,indriya,145,35,24,0,59,44,79,20,92,2,80,0,1,0,12
SN,CS,indriya,146,36,25,0,60,44,78,19,93,2,79,0,1,0,11
SN,CS,indriya,147,36,24,0,60,44,79,20,92,2,79,0,1,0,11
SN,CS,indriya,148,36,24,0,60,45,78,20,92,2,79,0,1,0,11
SN,CS,indriya,149,36,24,0,61,45,77,19,93,2,80,0,1,0,10
SN,CS,indriya,150,35,24,0,61,46,76,19,93,2,81,0,1,0,10
SN,CS,indriya,151,36,24,0,62,46,74,19,93,2,82,0,1,0,9
SN,CS,indriya,152,37,24,0,62,45,73,19,94,2,82,0,1,0,9
SN,CS,indriya,153,37,23,0,61,46,73,19,94,2,82,0,1,0,10
SN,CS,indriya,154,37,23,0,60,45,73,19,94,2,83,0,1,0,11
SN,CS,indriya,155,37,24,0,59,46,73,19,94,2,81,0,1,0,12
SN,CS,indriya,156,37,24,0,59,47,73,19,93,2,81,0,1,0,12
SN,CS,indriya,157,38,24,0,59,47,72,19,93,2,81,0,1,0,12
SN,CS,indriya,158,38,23,0,59,46,73,20,93,2,81,0,1,0,12
SN,CS,indriya,159,37,24,0,59,48,72,19,94,2,80,0,1,0,12
SN,CS,indriya,160,37,25,0,59,47,71,19,94,2,81,0,1,0,12
SN,CS,indriya,161,37,26,0,59,46,70,19,95,2,81,0,1,0,12
SN,CS,indriya,162,37,27,0,59,45,72,19,95,2,79,0,1,0,12
SN,CS,indriya,163,37,27,0,59,44,72,19,95,2,80,0,1,0,12
SN,CS,indriya,164,36,28,0,60,44,73,18,95,2,80,0,1,0,11
SN,CS,indriya,165,36,27,0,59,45,72,18,96,2,80,0,1,0,12
SN,CS,indriya,166,35,26,0,60,45,73,18,95,2,82,0,1,0,11
SN,CS,indriya,167,36,27,0,61,45,72,18,96,1,80,0,1,0,11
SN,CS,indriya,168,36,26,0,61,44,73,17,96,1,82,0,1,0,11
SN,CS,indriya,169,35,26,0,62,42,74,16,97,0,83,0,1,0,11
SN,CS,indriya,170,34,25,0,63,42,74,15,98,0,85,0,1,0,10
SN,CS,indriya,171,34,24,0,64,43,72,16,100,0,84,0,1,0,10
SN,CS,indriya,172,33,23,0,65,43,73,15,101,0,87,0,0,0,10
SN,CS,indriya,173,33,25,0,65,42,72,15,101,0,87,0,0,0,10
SN,CS,indriya,174,33,24,0,65,41,71,16,102,0,88,0,0,0,10
SN,CS,indriya,175,33,24,0,65,40,71,16,102,0,89,0,0,0,10
SN,CS,indriya,176,32,24,0,65,42,70,15,104,0,88,0,0,0,10
SN,CS,indriya,177,31,24,0,65,42,70,16,104,0,88,0,0,0,10
SN,CS,indriya,178,31,25,0,65,43,69,15,103,0,89,0,0,0,10
SN,CS,indriya,179,31,25,0,65,44,68,15,103,0,89,0,0,0,10
SN,CS,indriya,180,31,25,0,65,43,68,16,104,0,88,0,0,0,10
SN,CS,indriya,181,32,27,0,65,42,67,17,103,0,87,0,0,0,10
SN,CS,indriya,182,33,27,0,65,44,64,17,103,0,87,0,0,0,10
SN,CS,indriya,183,32,26,0,65,45,64,17,103,0,88,0,0,0,10
SN,CS,indriya,184,33,27,0,66,45,62,17,102,0,89,0,0,0,9
SN,CS,indriya,185,32,28,0,66,44,63,17,102,0,89,0,0,0,9
SN,CS,indriya,186,32,27,0,66,46,63,17,100,1,91,0,0,0,8
SN,CS,indriya,187,33,27,0,66,46,64,17,100,1,89,0,0,0,8
SN,CS,indriya,188,35,29,0,65,46,63,17,98,1,89,0,0,0,8
SN,CS,indriya,189,36,29,0,64,46,62,18,97,1,87,0,1,0,8
SN,CS,indriya,190,37,29,0,65,45,62,18,98,1,86,0,1,0,7
SN,CS,indriya,191,37,30,0,64,45,61,19,99,1,84,0,1,0,8
SN,CS,indriya,192,36,30,0,64,44,62,19,98,1,86,0,1,0,8
SN,CS,indriya,193,35,30,0,63,45,63,19,97,1,86,0,1,0,9
SN,CS,indriya,194,35,30,0,63,46,64,19,97,1,84,0,1,0,9
SN,CS,indriya,195,35,29,0,62,46,64,19,97,1,85,0,1,0,10
SN,CS,indriya,196,34,29,0,62,46,64,19,97,1,86,0,1,0,10
SN,CS,indriya,197,35,29,0,62,46,64,19,97,1,85,0,1,0,10
SN,CS,indriya,198,34,30,0,62,45,66,19,97,1,84,0,1,0,10
SN,CS,indriya,199,34,31,0,62,45,65,19,97,1,84,0,1,0,10
SN,CS,indriya,200,34,30,0,62,45,64,20,97,1,85,0,1,0,10
SN,CS,indriya,201,34,31,0,62,43,65,20,97,1,85,0,1,0,10
SN,CS,indriya,202,34,30,0,62,43,64,21,97,1,86,0,1,0,10
SN,CS,indriya,203,36,30,0,62,44,63,21,97,1,84,0,1,0,10
SN,CS,indriya,204,34,31,0,62,44,64,21,97,1,84,0,1,0,10
SN,CS,indriya,205,36,31,0,62,44,63,22,96,1,83,0,1,0,10
SN,CS,indriya,206,36,32,0,62,45,63,22,96,1,81,0,1,0,10
SN,CS,indriya,207,36,32,0,61,45,62,21,98,1,81,0,1,0,11
SN,CS,indriya,208,37,32,0,60,43,63,21,98,1,81,0,1,0,12
SN,CS,indriya,209,37,33,0,61,42,65,21,98,1,79,0,1,0,11
SN,CS,indriya,210,37,33,0,61,42,66,21,97,1,79,0,1,0,11
SN,CS,indriya,211,37,33,0,61,40,68,21,96,1,80,0,1,0,11
SN,CS,indriya,212,36,34,0,61,41,69,21,95,1,79,0,1,0,11
SN,CS,indriya,213,37,35,0,61,41,70,20,95,1,77,0,1,0,11
SN,CS,indriya,214,36,36,0,61,39,71,19,95,1,79,0,1,0,11
SN,CS,indriya,215,37,36,0,61,40,72,18,95,1,77,0,1,0,11
SN,CS,indriya,216,36,36,0,61,40,72,18,95,1,78,0,1,0,11
SN,CS,indriya,217,36,36,0,61,39,72,18,95,1,79,0,1,0,11
SN,CS,indriya,218,37,34,0,62,38,73,18,95,1,80,0,1,0,10
SN,CS,indriya,219,38,34,0,62,37,72,17,97,1,80,0,1,0,10
SN,CS,indriya,220,37,34,0,63,38,72,16,98,1,80,0,1,0,9
SN,CS,indriya,221,37,33,0,63,38,73,17,97,1,80,0,1,0,9
SN,CS,indriya,222,38,33,0,63,38,72,16,98,1,80,0,1,0,9
SN,CS,indriya,223,39,33,0,63,37,73,16,97,1,80,0,1,0,9
SN,CS,indriya,224,39,33,0,63,37,74,16,96,1,80,0,1,0,9
SN,CS,indriya,225,40,33,0,63,36,73,16,97,1,80,0,1,0,9
SN,CS,indriya,226,39,33,0,62,35,74,18,97,1,79,0,1,0,10
SN,CS,indriya,227,39,33,0,62,36,74,18,96,1,79,0,1,0,10
SN,CS,indriya,228,38,33,0,63,34,75,19,97,1,79,0,1,0,9
SN,CS,indriya,229,38,33,0,64,34,75,19,97,1,79,0,1,0,8
SN,CS,indriya,230,37,34,0,65,34,76,19,97,1,78,0,1,0,7
SN,CS,indriya,231,35,34,0,65,34,76,19,97,1,80,0,1,0,7
SN,CS,indriya,232,34,34,0,65,35,77,19,97,1,79,0,1,0,7
SN,CS,indriya,233,36,34,0,65,35,76,19,97,1,78,0,1,0,7
SN,CS,indriya,234,37,33,0,64,33,77,20,95,2,81,0,1,0,7
SN,CS,indriya,235,36,32,0,64,34,78,20,95,2,81,0,1,0,7
SN,CS,indriya,236,36,33,0,63,34,80,19,93,2,81,0,1,0,7
SN,CS,indriya,237,37,33,0,62,34,77,20,92,2,81,0,2,0,7
SN,CS,indriya,238,37,34,0,62,34,76,20,92,2,81,0,2,0,7
SN,CS,indriya,239,37,35,0,62,34,75,20,92,2,81,0,2,0,7
SN,CS,indriya,240,37,36,0,62,34,75,20,91,2,81,0,2,0,7
SN,CS,indriya,241,38,36,0,62,35,73,20,91,2,81,0,2,0,7
SN,CS,indriya,242,37,35,0,62,35,73,20,91,2,83,0,2,0,7
SN,CS,indriya,243,37,35,0,62,35,73,20,92,2,82,0,2,0,7
SN,CS,indriya,244,37,35,0,62,36,73,20,92,2,81,0,2,0,7
SN,CS,indriya,245,37,35,0,62,39,73,20,91,2,79,0,2,0,7
SN,CS,indriya,246,37,34,0,62,39,75,19,90,2,80,0,2,0,7
SN,CS,indriya,247,37,34,0,62,40,75,19,90,2,79,0,2,0,7
SN,CS,indriya,248,37,32,0,62,42,75,19,91,2,78,0,2,0,7
SN,CS,indriya,249,37,32,0,62,44,77,18,90,2,76,0,2,0,7
SN,CS,indriya,250,37,32,0,61,44,76,18,91,2,76,0,2,0,8
SN,CS,indriya,251,37,32,0,61,42,77,18,89,2,79,0,2,0,8
SN,CS,indriya,252,37,31,0,61,42,77,18,89,2,80,0,2,0,8
SN,CS,indriya,253,37,30,0,60,41,78,18,89,2,81,0,2,0,9
SN,CS,indriya,254,37,31,0,60,40,78,18,89,2,81,0,2,0,9
SN,CS,indriya,255,36,31,0,60,40,77,17,89,2,84,0,2,0,9
SN,CS,indriya,256,35,30,0,60,40,78,17,89,2,85,0,2,0,9
SN,CS,indriya,257,34,31,0,60,38,79,17,89,2,86,0,2,0,9
SN,CS,indriya,258,34,31,0,60,38,79,17,89,2,86,0,2,0,9
SN,CS,indriya,259,34,30,0,60,38,80,18,89,2,85,0,2,0,9
SN,CS,indriya,260,34,29,0,60,39,80,18,90,2,84,0,2,0,9
SN,CS,indriya,261,33,30,0,61,38,80,18,91,1,83,0,2,0,9
SN,CS,indriya,262,32,30,0,61,37,79,19,91,1,85,0,2,0,9
SN,CS,indriya,263,30,29,0,62,37,79,20,92,1,85,0,2,0,9
SN,CS,indriya,264,29,29,0,63,37,81,19,93,1,86,0,1,0,9
SN,CS,indriya,265,27,30,0,63,37,82,19,92,1,87,0,1,0,9
SN,CS,indriya,266,27,29,0,63,38,82,18,91,1,89,0,1,0,9
SN,CS,indriya,267,27,29,0,63,38,82,18,92,1,88,0,1,0,9
SN,CS,indriya,268,27,29,0,64,37,82,18,92,1,89,0,1,0,8
SN,CS,indriya,269,27,29,0,64,36,81,17,93,1,91,0,1,0,8
SN,CS,indriya,270,26,29,0,65,36,81,17,94,1,91,0,1,0,7
SN,CS,indriya,271,26,29,0,65,37,81,18,94,1,89,0,1,0,7
SN,CS,indriya,272,25,30,0,65,38,80,18,93,1,90,0,1,0,7
SN,CS,indriya,273,26,30,0,64,38,78,18,93,1,91,0,1,0,8
SN,CS,indriya,274,27,30,0,64,37,79,18,93,1,90,0,1,0,8
SN,CS,indriya,275,29,30,0,64,37,78,17,94,1,89,0,1,0,8
SN,CS,indriya,276,29,29,0,64,37,78,17,94,1,90,0,1,0,8
